Year,CO2,Coal consumption,Oil consumption,Gas consumption
1965,10985.23,12419.56,15399.75,5079.07
1966,11510.82,12467.24,16587.62,5501.01
1967,11860.9,12151.08,17752.11,5866.84
1968,12507.08,12405.81,19322.61,6414.16
1969,13345.32,12841.44,20993.76,7090.74
1970,14458.89,13109.12,22813.48,7692.7
1971,15037.74,12907.67,24075.79,8188.54
1972,15721.78,12996.01,25883.15,8641.41
1973,16556.4,13451.52,27969.9,8944.52
1974,16519.62,13438.11,27136.76,9068.38
1975,16601.37,13653.59,26568.6,8838.61
1976,17545.46,14291.21,28425.56,9256.78
1977,18044.57,14760.65,29361.26,9437.65
1978,18607.2,14973.47,30606.88,9750.86
1979,19144.66,15817.99,31017.19,10328.22
1980,19036.13,16420.96,29180.06,10333.15
1981,18605.0,16708.58,27849.26,10262.95
1982,18492.46,16860.36,26847.35,10000.4
1983,18627.86,17469.73,26651.6,9910.85
1984,19282.38,18433.79,27373.58,10679.99
1985,19938.11,23252.46,32057.61,15931.98
1986,20214.25,23511.38,33104.5,16063.66
1987,20718.75,24480.97,33738.49,16906.45
1988,21532.37,25237.68,34832.86,17672.75
1989,21814.29,25503.02,35442.9,18434.62
1990,22203.84,25239.76,36016.08,19075.52
1991,22685.77,25043.21,36067.45,19592.21
1992,22012.64,25016.64,36600.59,19670.53
1993,22240.24,25180.67,36423.14,19908.32
1994,22449.48,25347.78,37224.96,20044.57
1995,22906.15,25544.4,37856.56,20736.96
1996,23580.52,26190.8,38677.61,21779.59
1997,23691.7,26131.51,39729.13,21613.36
1998,23583.77,25967.86,39880.9,21991.01
1999,24059.36,26089.35,40588.95,22666.21
2000,24716.7,27001.22,41107.59,23552.75
2001,24895.86,27425.64,41424.81,23839.47
2002,25449.88,28516.27,41693.03,24529.6
2003,26817.74,31047.22,42607.71,25198.72
2004,27716.62,33209.38,44266.84,26148.19
2005,28652.42,35709.9,44668.7,26850.46
2006,29613.76,37584.21,45119.89,27560.58
2007,30450.5,39786.56,45641.39,28659.74
2008,30975.44,40308.19,45161.49,29362.01
2009,30470.17,39714.62,44102.82,28766.73
2010,32218.22,41506.09,45554.83,30890.07
2011,33319.9,43460.61,45940.51,31640.48
2012,33830.96,43599.34,46678.78,32465.85
2013,34111.82,44258.37,47139.0,32983.15
2014,34338.65,44421.67,47462.79,33174.02
2015,34294.84,43225.75,48457.15,33846.75
2016,34277.55,42238.86,49451.54,34635.23
2017,34791.29,42552.79,50220.6,35553.24
2018,35497.48,43205.73,50647.03,37372.5
2019,35767.52,42922.38,50697.73,38051.29
2020,34140.51,41620.45,46044.47,37584.6
2021,35900.44,43939.25,48605.83,39567.29
2022,36092.42,44230.32,50137.28,38327.54
