year,Africa,Asia,Europe,North America,Oceania,South America
1965,17.39985454545455,174.09311764705882,462.308152173913,864.0768571428571,45.04842105263158,151.65075
1966,18.052363636363637,189.10996078431373,471.58993478260874,913.3907428571429,47.45752631578947,161.2505833333333
1967,18.06423636363636,198.70550980392156,485.5896739130435,942.3923142857143,50.22615789473684,166.74566666666666
1968,19.05038181818182,213.25311764705882,520.7852608695651,1001.4362571428571,53.134473684210526,178.40416666666667
1969,18.991400000000002,245.41172549019606,569.9350869565217,1050.8943428571426,55.18984210526315,185.77733333333333
1970,20.37850909090909,281.90498039215686,606.8421739130436,1092.5441142857144,63.57089473684211,192.11374999999998
1971,21.79287272727273,309.72847058823527,621.9586956521739,1113.0766285714283,66.17005263157894,203.302
1972,22.870690909090907,329.5156862745098,649.9934565217392,1169.8167999999998,69.53394736842105,215.60558333333333
1973,24.410363636363634,360.14825490196074,688.1430434782609,1220.4355142857144,74.39542105263156,236.8996666666667
1974,25.62232727272727,365.19347058823524,676.3028260869565,1185.9672000000003,78.22173684210526,252.0476666666667
1975,27.738327272727272,376.8567450980392,662.4041304347826,1147.9165714285712,78.88805263157894,251.7455
1976,29.84194545454545,397.8567843137255,703.9950217391305,1213.1114857142857,82.59363157894737,268.0696666666667
1977,31.168327272727275,426.21360784313725,705.5707391304348,1250.1315142857143,87.23447368421053,282.1666666666667
1978,32.150181818181814,453.2960980392157,731.1193260869566,1266.5714285714287,89.10936842105264,293.978
1979,35.017872727272724,474.9052941176471,759.0259782608696,1288.8944,91.76315789473684,313.21858333333336
1980,38.48314545454546,472.0063333333333,735.860195652174,1248.195057142857,92.04015789473684,319.12175
1981,44.65307272727272,478.94654901960786,703.7631956521739,1212.3917999999999,93.28763157894737,316.172
1982,49.07054545454546,491.9393333333333,687.2628695652174,1155.8293714285717,93.65152631578947,320.16608333333335
1983,51.298272727272725,516.8659803921569,688.0421086956521,1141.3582285714288,90.95168421052632,315.2343333333333
1984,54.26712727272727,559.4778823529412,694.664304347826,1200.3587428571427,94.61705263157896,318.85724999999996
1985,55.406563636363636,647.8243137254902,1239.9001304347826,1197.904142857143,97.37363157894738,325.31308333333334
1986,56.51250909090909,687.1800980392156,1259.5574565217391,1199.1444857142856,99.66705263157894,345.81858333333327
1987,58.36718181818181,726.117568627451,1281.8309782608696,1242.857057142857,102.80505263157893,354.76191666666665
1988,62.347109090909086,777.8780784313725,1283.8883260869566,1297.7233428571428,107.3542105263158,364.7921666666667
1989,61.21132727272727,817.2480784313726,1283.7570652173913,1326.4371142857142,112.87315789473685,369.4370833333333
1990,63.93903636363636,851.0663137254902,1292.048695652174,1315.7050571428572,115.38863157894737,372.3960833333333
1991,63.598763636363635,890.5389607843138,1270.6529782608695,1306.9499142857142,114.74057894736842,377.32275
1992,64.46092727272728,940.7508823529412,1213.654956521739,1334.9695142857145,117.05273684210526,395.6234166666666
1993,63.91696363636363,977.1433921568628,1158.3060869565218,1359.7777999999998,119.02894736842106,405.1345833333333
1994,66.30996363636363,1038.1364901960783,1106.1054782608696,1392.0026857142857,123.90778947368422,430.7921666666666
1995,69.15745454545456,1083.858431372549,1098.0167173913044,1409.7112571428572,129.46826315789474,454.70908333333335
1996,70.56109090909091,1137.4288039215687,1109.4457608695652,1455.3195142857141,133.65052631578945,474.57891666666666
1997,71.69201818181818,1166.6437058823528,1081.3372608695652,1478.0651142857146,137.58931578947366,501.90350000000007
1998,72.07867272727273,1162.097705882353,1085.5205434782608,1491.0394857142858,139.9395263157895,523.93975
1999,75.21965454545455,1206.8814705882353,1079.974891304348,1512.0649428571428,146.00157894736842,525.0318333333333
2000,75.817,1259.3085098039217,1087.0565217391304,1557.3074571428572,147.28736842105263,535.9665
2001,77.80723636363636,1311.9031960784312,1100.171043478261,1530.0267714285715,149.22457894736843,540.4883333333333
2002,77.71214545454545,1382.6615686274508,1096.5484782608696,1549.2567999999999,151.74515789473685,537.8583333333333
2003,83.19576363636364,1506.734431372549,1121.293304347826,1561.4320571428573,153.26515789473683,535.7470833333333
2004,89.71723636363637,1646.391235294118,1128.3921304347825,1594.477457142857,157.18326315789477,573.4309166666667
2005,88.99809090909092,1781.197549019608,1130.8844782608696,1603.0605428571428,157.7848947368421,585.6183333333333
2006,91.90832727272728,1878.941117647059,1149.73,1587.2350285714285,164.05657894736842,610.6482500000001
2007,95.36454545454546,2004.7645490196078,1139.1680652173914,1618.0755714285713,167.82468421052633,645.5432500000001
2008,102.00785454545453,2060.5438039215687,1128.001239130435,1572.180142857143,171.16757894736844,661.4720833333333
2009,103.58874545454546,2108.226882352941,1046.8766739130435,1485.445457142857,167.6554736842105,639.2275
2010,105.42432727272727,2235.402274509804,1084.5248043478261,1534.665,167.1214736842105,689.22325
2011,107.5778909090909,2369.8498039215688,1070.101804347826,1518.8197714285716,169.73936842105263,711.7755833333334
2012,110.05398181818182,2462.2912352941175,1057.882152173913,1488.166742857143,168.28036842105266,757.2510000000001
2013,111.04298181818181,2516.322294117647,1034.0455,1521.3190285714286,168.9736315789474,789.3471666666668
2014,112.93074545454544,2567.4403137254903,991.0709347826087,1532.252114285714,171.5273157894737,803.1979166666666
2015,113.50316363636364,2602.752549019608,984.8818260869565,1516.081514285714,174.41563157894737,790.1345833333334
2016,117.40449090909091,2632.012666666667,1000.7543478260869,1499.5192857142856,173.3564210526316,763.5758333333333
2017,119.01541818181818,2712.744843137255,1008.6348695652174,1498.6951714285715,174.48,760.90825
2018,118.94818181818181,2792.9755098039213,1014.0626304347826,1550.448457142857,173.79699999999997,729.7600000000001
2019,121.5892,2845.5597254901954,990.1531304347826,1532.8489142857143,178.76084210526315,703.8289166666667
2020,113.13881818181818,2790.880176470588,903.4741086956521,1389.7422571428574,164.35973684210526,627.574
2021,118.11154545454546,2923.9571568627453,963.9488913043477,1471.4040857142859,160.86252631578947,714.4988333333332
2022,117.2914,3022.68978,911.306,1555.7379411764707,163.5503157894737,723.4578333333334
